feature,coefficient
Shucked weight,-4.611542082785473
Whole weight,4.500950031297778
Diameter,1.341737623909585
Shell weight,1.2100935105466784
Viscera weight,-0.9577967654617334
Height,0.4866425392254988
Length,-0.18337985028091966
Sex_encoded,0.06919266590412226
